Code,Occupation,Job Family,Cluster
29-1071.01,anesthesiologist assistants,Healthcare Practitioners and Technical,0
29-1211.00,anesthesiologists,Healthcare Practitioners and Technical,0
45-2021.00,animal breeders,"Farming, Fishing, and Forestry",0
39-2021.00,animal caretakers,Personal Care and Service,0
33-9011.00,animal control workers,Protective Service,0
19-1011.00,animal scientists,"Life, Physical, and Social Science",0
39-2011.00,animal trainers,Personal Care and Service,0
19-3091.00,anthropologists archeologists,"Life, Physical, and Social Science",0
25-1061.00,anthropology archeology teachers postsecondary,Educational Instruction and Library,2
13-2023.00,appraisers assessors real estate,Business and Financial Operations,0
13-2022.00,appraisers personal business property,Business and Financial Operations,0
23-1022.00,arbitrators mediators conciliators,Legal,0
17-1011.00,architects except landscape naval,Architecture and Engineering,0
17-3011.00,architectural civil drafters,Architecture and Engineering,0
11-9041.00,architectural engineering managers,Management,7
25-1031.00,architecture teachers postsecondary,Educational Instruction and Library,2
25-4011.00,archivists,Educational Instruction and Library,0
25-1062.00,area ethnic cultural studies teachers postsecondary,Educational Instruction and Library,2
55-3013.00,armored assault vehicle crew members,Military Specific,0
55-1013.00,armored assault vehicle officers,Military Specific,0
27-1011.00,art directors,"Arts, Design, Entertainment, Sports, and Media",0
29-1129.01,art therapists,Healthcare Practitioners and Technical,0
25-1121.00,art drama music teachers postsecondary,Educational Instruction and Library,2
55-3014.00,artillery missile crew members,Military Specific,0
55-1014.00,artillery missile officers,Military Specific,0
27-1019.00,artists related workers,"Arts, Design, Entertainment, Sports, and Media",0
51-2099.00,assemblers fabricators,Production,0
19-2011.00,astronomers,"Life, Physical, and Social Science",0
27-2021.00,athletes sports competitors,"Arts, Design, Entertainment, Sports, and Media",0
29-9091.00,athletic trainers,Healthcare Practitioners and Technical,0
19-2021.00,atmospheric space scientists,"Life, Physical, and Social Science",0
25-1051.00,atmospheric earth marine space sciences teachers postsecondary,Educational Instruction and Library,2
27-4011.00,audio video technicians,"Arts, Design, Entertainment, Sports, and Media",1
29-1181.00,audiologists,Healthcare Practitioners and Technical,0
49-2097.00,audiovisual equipment installers repairers,"Installation, Maintenance, and Repair",5
53-6031.00,automotive watercraft service attendants,Transportation and Material Moving,0
49-3021.00,automotive body related repairers,"Installation, Maintenance, and Repair",0
17-3027.01,automotive engineering technicians,Architecture and Engineering,1
17-2141.02,automotive engineers,Architecture and Engineering,9
49-3022.00,automotive glass installers repairers,"Installation, Maintenance, and Repair",0
